week_end,week_last_trade_date,regime_filtered,regime_viterbi,hmm_selection_role,hmm_selection_reason,hmm_feature_preset,hmm_selection_mode,hmm_n_states,hmm_n_pca,hmm_cov_type,hmm_selected_seed,filtered_prob_regime_0,smoothed_prob_regime_0,filtered_prob_regime_1,smoothed_prob_regime_1
2014-06-20,2014-06-20,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.008705554405789729,0.0011092792800671406,0.9912944455942236,0.9988907207202811
2014-06-27,2014-06-27,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.005383033492303908,0.001572078623650076,0.9946169665076838,0.9984279213761723
2014-07-04,2014-07-03,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.07196864912890875,0.009436071891839815,0.9280313508710908,0.990563928108565
2014-07-11,2014-07-11,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.021157280185645565,0.0031999026652254825,0.9788427198143593,0.9968000973353517
2014-07-18,2014-07-18,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.021542711571827914,0.0033832672887760627,0.9784572884281777,0.9966167327112296
2014-07-25,2014-07-25,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.009011103259857517,0.0037720382489403437,0.9909888967401403,0.9962279617516127
2014-08-01,2014-08-01,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.09340747480548979,0.016658876292615855,0.9065925251945202,0.9833411237075115
2014-08-08,2014-08-08,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04867070236396785,0.009841602876197477,0.951329297636012,0.9901583971234672
2014-08-15,2014-08-15,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0635595998208347,0.009179396141108092,0.9364404001791721,0.9908206038581525
2014-08-22,2014-08-22,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.04031795025501319,0.004449014723547389,0.959682049745006,0.9955509852758224
2014-08-29,2014-08-29,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.007994251843661425,0.0008695653201451937,0.9920057481563644,0.9991304346800597
2014-09-05,2014-09-05,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0047379072927795605,0.0006068704481961959,0.995262092707212,0.9993931295525528
2014-09-12,2014-09-12,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.013243268302429695,0.0015033829982474178,0.9867567316975532,0.9984966170023521
2014-09-19,2014-09-19,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.003424901534217281,0.0009067901110469965,0.9965750984657745,0.9990932098883082
2014-09-26,2014-09-26,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0019773481253211145,0.007808863564291562,0.9980226518746509,0.9921911364361098
2014-10-03,2014-10-03,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.009491400546577737,0.17334190519742027,0.9905085994534323,0.8266580948034571
2014-10-10,2014-10-10,1,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.48465616020515423,0.949204184059504,0.5153438397948658,0.05079581594117226
2014-10-17,2014-10-17,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.988316471449503,0.9917961206305264,0.011683528550516692,0.008203879369498571
2014-10-24,2014-10-24,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9921003562211643,0.929387803367963,0.00789964377885009,0.07061219663170105
2014-10-31,2014-10-31,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.46244611727700197,0.07725839832107738,0.5375538827230097,0.9227416016789035
2014-11-07,2014-11-07,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.010207490957075035,0.0010014382825599365,0.9897925090429295,0.9989985617182564
2014-11-14,2014-11-14,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0005566385940095553,5.7402538347045135e-05,0.9994433614059893,0.9999425974615797
2014-11-21,2014-11-21,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0007618117795152783,0.00030299182707302895,0.9992381882204839,0.9996970081738303
2014-11-28,2014-11-28,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.002415877682766935,0.01321212358874158,0.9975841223172401,0.9867878764121047
2014-12-05,2014-12-05,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.014233256709486474,0.24398773322929795,0.9857667432905359,0.7560122667715204
2014-12-12,2014-12-12,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9049932209270559,0.9688098522681586,0.09500677907297242,0.03119014773153535
2014-12-19,2014-12-19,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9426610403396756,0.948396048187253,0.0573389596602799,0.051603951812822825
2014-12-26,2014-12-26,1,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.4454750173116771,0.8727041155856906,0.5545249826883718,0.12729588441362358
2015-01-02,2015-01-02,1,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.4345642277404552,0.9127211476232236,0.5654357722595262,0.08727885237742225
2015-01-09,2015-01-09,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.5184928560202744,0.960828108917909,0.48150714397969774,0.039171891081251395
2015-01-16,2015-01-16,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9775367763349356,0.9990146562105233,0.022463223665056736,0.0009853437898015335
2015-01-23,2015-01-23,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999506195349207,0.9999978687196719,4.938046509053299e-05,2.1312799308301178e-06
2015-01-30,2015-01-30,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999913237969703,0.9999754231922167,8.676203023503675e-06,2.4576806984575226e-05
2015-02-06,2015-02-06,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9640787160724803,0.7306906412594929,0.03592128392752955,0.2693093587398284
2015-02-13,2015-02-13,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.2525464893595858,0.03608761520671805,0.7474535106404225,0.963912384793468
2015-02-20,2015-02-20,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.035448835228847834,0.005409425683415043,0.9645511647711122,0.9945905743173717
2015-02-27,2015-02-27,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.013726246937140562,0.004125638761479304,0.9862737530628326,0.9958743612393324
2015-03-06,2015-03-06,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.07200302454188959,0.011451679550818761,0.9279969754581598,0.9885483204493722
2015-03-13,2015-03-13,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.02042736979803849,0.006359950127192445,0.9795726302019063,0.993640049872213
2015-03-20,2015-03-20,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.10247284828821782,0.013410351986320925,0.8975271517117259,0.9865896480129085
2015-03-27,2015-03-27,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.022351347453724718,0.003567361515422284,0.9776486525462416,0.9964326384845994
2015-04-03,2015-04-02,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.03317721895734299,0.003978866804380836,0.9668227810427039,0.9960211331957136
2015-04-10,2015-04-10,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.013408849287757466,0.0015664894994856491,0.9865911507122682,0.9984335105004295
2015-04-17,2015-04-17,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.01101285648267463,0.0010937537280801908,0.9889871435172916,0.9989062462712344
2015-04-24,2015-04-24,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0011444751706472605,0.00011930703687047183,0.9988555248293521,0.9998806929633607
2015-05-01,2015-05-01,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.00358000786269391,0.00035427410438165015,0.9964199921373136,0.9996457258950894
2015-05-08,2015-05-08,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.001166056981452601,0.00011719105338020542,0.9988339430185172,0.999882808947218
2015-05-15,2015-05-15,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0018761623888380028,0.0001888432632861837,0.9981238376111284,0.9998111567363035
2015-05-22,2015-05-22,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.001758413418068732,0.00019581875629540694,0.9982415865819703,0.9998041812442633
2015-05-29,2015-05-29,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.00386624718595098,0.0006752336569085671,0.99613375281409,0.9993247663431496
2015-06-05,2015-06-05,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.03518172510278784,0.0036600876389045298,0.9648182748971798,0.996339912361998
2015-06-12,2015-06-12,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0034561416627342263,0.0003663467343079619,0.9965438583372124,0.9996336532664953
2015-06-19,2015-06-19,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.003880486670235683,0.00044416685679142445,0.9961195133298172,0.9995558331431862
2015-06-26,2015-06-26,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.008138810956200256,0.0008426542168559453,0.9918611890438287,0.9991573457831832
2015-07-03,2015-07-02,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0032633408656555425,0.00034102143626576624,0.9967366591343012,0.9996589785630318
2015-07-10,2015-07-10,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0026254186222512987,0.0003739057570910888,0.9973745813777241,0.9996260942426115
2015-07-17,2015-07-17,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.01259768680446745,0.0021010911278445308,0.987402313195543,0.9978989088722588
2015-07-24,2015-07-24,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.014747046920669183,0.0038429638433252955,0.9852529530793338,0.9961570361562646
2015-07-31,2015-07-31,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.013479910851984224,0.009355325999531977,0.9865200891480513,0.990644673999625
2015-08-07,2015-08-07,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.012187638699893245,0.03348123046039383,0.9878123613001154,0.966518769539959
2015-08-14,2015-08-14,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.007245239562414204,0.14537499770660714,0.9927547604375588,0.8546250022930105
2015-08-21,2015-08-21,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999900371848915,0.9999995673953007,9.962815065755237e-06,4.3260397478439524e-07
2015-08-28,2015-08-28,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9988370826294332,0.9999500342860765,0.0011629173705457467,4.996571315473726e-05
2015-09-04,2015-09-04,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999685781233931,0.999998618107429,3.142187655064123e-05,1.381893016632093e-06
2015-09-11,2015-09-11,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.997720210976281,0.9998963442060563,0.002279789023695629,0.00010365579477882631
2015-09-18,2015-09-18,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9951244893849925,0.9997564843376913,0.004875510614998306,0.00024351566315752973
2015-09-25,2015-09-25,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9927535649364979,0.9993091725262178,0.007246435063533792,0.0006908274730053485
2015-10-02,2015-10-02,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9984276140314369,0.9946235204870532,0.001572385968663886,0.005376479513333731
2015-10-09,2015-10-09,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9218189120230926,0.669251164463275,0.07818108797699891,0.3307488355360155
2015-10-16,2015-10-16,0,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.7974306116249854,0.29666285307644225,0.20256938837494998,0.7033371469237808
2015-10-23,2015-10-23,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.23709542395619237,0.030967141465070267,0.7629045760437441,0.9690328585346176
2015-10-30,2015-10-30,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.019998915782451183,0.0023053957523059073,0.9800010842175643,0.9976946042479016
2015-11-06,2015-11-06,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0032705080562138835,0.001084777217835529,0.9967294919436895,0.9989152227815499
2015-11-13,2015-11-13,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.08558044509211157,0.010878753416980734,0.9144195549079961,0.9891212465825608
2015-11-20,2015-11-20,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.020652398527273436,0.002899552217424295,0.9793476014726432,0.9971004477817708
2015-11-27,2015-11-27,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.003890283349466013,0.0026761817514754857,0.9961097166504871,0.9973238182481196
2015-12-04,2015-12-04,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0015137336448421688,0.02770211658879303,0.9984862663551748,0.9722978834116479
2015-12-11,2015-12-11,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.8483432437071853,0.810869273665264,0.15165675629291195,0.1891307263345903
2015-12-18,2015-12-18,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.745527849675874,0.7175668974567038,0.2544721503241889,0.28243310254392867
2015-12-25,2015-12-24,1,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.2671666665899608,0.6500501241592606,0.7328333334100284,0.3499498758415121
2016-01-01,2015-12-31,1,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.09752178494372896,0.7157957030981877,0.9024782150563676,0.28420429690174864
2016-01-08,2016-01-08,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9998446590486108,0.9999933334278767,0.00015534095143886827,6.666572617474652e-06
2016-01-15,2016-01-15,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999877054945946,0.9999994684059451,1.2294505367454938e-05,5.315937550446199e-07
2016-01-22,2016-01-22,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9992494407477331,0.9999677611862318,0.0007505592521648431,3.2238814428898174e-05
2016-01-29,2016-01-29,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999584381918482,0.9999982162896678,4.156180816952799e-05,1.783709889662034e-06
2016-02-05,2016-02-05,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999741849113651,0.9999988924052327,2.5815088589505665e-05,1.1075953623580503e-06
2016-02-12,2016-02-12,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999999218096067,0.9999999966385076,7.81903781883808e-08,3.3608675480569166e-09
2016-02-19,2016-02-19,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9999333489141243,0.9999923487413833,6.665108589497738e-05,7.651259400120358e-06
2016-02-26,2016-02-26,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9970962217621078,0.9930563978813574,0.0029037782377848874,0.0069436021191508395
2016-03-04,2016-03-04,0,0,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.9550638183032265,0.7671170705533353,0.04493618169686307,0.2328829294459672
2016-03-11,2016-03-11,0,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.7728945809166577,0.29311079875846807,0.22710541908338633,0.7068892012410956
2016-03-18,2016-03-18,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.40095855979671785,0.06289149758745816,0.5990414402032703,0.9371085024123955
2016-03-25,2016-03-24,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.026469822245730763,0.0027736787373010864,0.9735301777543346,0.9972263212621264
2016-04-01,2016-04-01,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.004128061166537579,0.00043290259443510567,0.9958719388334029,0.999567097406309
2016-04-08,2016-04-08,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.004003607066313709,0.0003944004962135111,0.9959963929337224,0.9996055995033852
2016-04-15,2016-04-15,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0009604336559921737,9.546136087937227e-05,0.9990395663439647,0.9999045386395418
2016-04-22,2016-04-22,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.0011098894930604056,0.0001400225018496267,0.9988901105068961,0.9998599774987126
2016-04-29,2016-04-29,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.012925245297215296,0.0013216576860516777,0.9870747547027315,0.9986783423145408
2016-05-06,2016-05-06,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.002613562451472293,0.0002772474562538018,0.9973864375485126,0.9997227525431538
2016-05-13,2016-05-13,1,1,project,Best interpretable candidate also has the best validation log-likelihood among survivors — no interpretability/likelihood trade-off to resolve.,regime_core,pipeline,2,8,diag,7,0.00424287450270427,0.000443455383700404,0.9957571254973556,0.9995565446160299
